new_car_num, all_car_num, compuation_time
0,0,0.0011152
0,0,0.0006345
23,35,1.48432
30,58,1.98545
36,76,2.40302
26,80,2.27003
37,94,2.52776
39,80,3.36722
30,82,2.74138
30,79,2.47027
33,81,3.01703
31,80,3.11998
37,78,4.34067
30,66,3.09709
37,81,4.62338
36,94,5.22042
27,91,4.3969
42,96,3.93404
36,97,5.85743
26,76,4.3825
28,66,3.4008
32,91,4.32456
20,77,2.98054
28,83,3.85319
33,98,4.62821
29,88,4.13033
26,87,4.32984
24,77,4.00253
32,63,2.49185
14,36,1.16836
39,79,3.78649
34,92,4.38608
24,77,4.49359
31,89,4.06239
25,75,3.29825
22,63,2.36437
18,53,1.63571
35,69,3.2848
23,74,5.52831
21,57,2.82487
24,60,2.24969
31,76,3.89593
29,71,3.12701
22,83,3.35176
40,83,3.75965
18,59,2.12173
30,78,3.82065
24,74,3.46882
19,54,3.46454
26,49,2.40708
18,44,2.48601
26,58,2.36131
22,58,3.22737
26,49,2.27688
31,52,2.03369
24,40,1.13038
18,32,1.30471
17,43,1.66348
19,58,2.07634
31,63,2.48471
16,42,1.35353
20,41,1.87982
20,52,1.68347
18,60,1.71219
18,66,2.41024
30,65,1.97885
18,46,1.32236
18,65,2.08044
21,70,2.83441
28,70,2.94174
22,45,2.69742
20,35,1.8529
22,54,2.54447
15,56,3.64036
14,52,2.8351
9,41,2.21231
27,59,2.82423
22,54,1.77349
10,38,1.35696
23,40,1.39153
28,51,1.19192
22,45,1.2878
17,48,1.45978
13,37,1.12379
30,53,1.60856
26,77,2.5903
21,55,1.89699
22,40,1.34049
23,41,1.05854
17,51,1.78521
26,69,2.35741
22,67,2.22694
20,49,2.05726
18,47,2.06451
26,64,2.56245
26,63,2.50514
26,71,2.66453
20,72,3.38685
16,71,3.26056
18,51,2.00736
32,66,2.51726
21,62,1.84535
21,50,1.59218
29,59,2.7055
21,43,1.45421
21,52,2.59034
17,56,2.30369
17,56,1.94024
29,75,2.88518
18,58,2.06177
22,51,2.03829
21,54,2.21528
20,63,2.28314
15,36,1.32814
20,52,1.57634
15,52,1.50128
23,45,1.29633
20,49,1.83524
15,58,2.02194
19,51,1.73805
17,47,1.49757
17,42,1.39038
20,55,1.76976
30,68,2.15156
18,55,1.94312
15,59,1.96468
22,69,2.40131
30,82,2.96477
20,51,1.6753
18,50,1.76446
18,49,1.49711
24,56,2.24152
16,57,1.73739
9,48,1.56293
21,61,1.72921
27,81,2.69338
23,71,2.1477
22,69,2.47519
28,77,2.86785
12,45,1.85856
21,59,1.87271
21,52,1.60668
19,41,1.71679
13,36,1.16921
19,52,1.5927
19,54,1.54034
18,49,1.50344
24,61,1.91485
16,42,1.48423
20,42,1.5383
23,59,1.83409
21,60,2.16119
17,47,1.61924
25,67,1.96992
33,79,3.17364
33,77,3.94436
17,53,2.63731
18,59,2.73098
15,50,2.72498
21,53,1.93525
17,37,0.999134
13,35,1.13154
12,36,0.862332
28,57,1.82272
22,64,2.285
15,58,2.05759
23,50,1.36731
39,86,3.51443
17,56,2.57749
14,48,1.59025
15,59,2.26395
20,43,1.55597
20,56,1.85555
24,58,2.90111
23,53,2.47623
12,42,1.71981
26,49,1.56776
29,47,1.68813
9,26,0.957887
21,52,1.61771
21,55,1.75714
17,47,1.72293
17,44,1.32348
20,45,1.49909
20,46,1.49299
27,55,2.1806
27,54,1.76356
15,47,1.6953
27,56,1.70006
26,68,2.27214
18,50,1.62787
22,54,1.67555
21,63,1.788
22,49,1.24257
18,32,0.800195
14,42,1.23658
15,54,1.54658
15,41,1.24909
16,44,1.02958
9,25,0.780153
29,40,1.08723
20,39,1.05399
21,38,1.11127
31,60,1.88231
23,64,1.76202
19,51,1.47622
14,54,1.34774
17,50,1.5891
18,48,1.45481
24,47,1.73398
27,57,1.81814
8,39,1.35088
25,53,1.76793
28,51,1.71728
15,36,1.54247
30,67,2.6398
31,83,3.08954
16,58,2.10806
30,82,2.45022
22,63,2.38664
9,35,0.880056
17,49,1.61879
27,64,1.83463
17,46,1.4181
