new_car_num, all_car_num, compuation_time
0,0,0.0031464
0,0,0.0012882
23,36,0.711341
30,52,0.988709
36,76,1.01794
26,86,0.879434
37,115,1.1967
39,124,1.37587
30,119,1.10001
30,125,1.38002
33,105,1.39675
31,101,1.285
37,110,1.70612
30,121,1.79658
37,121,1.50353
37,127,1.96749
29,121,1.5269
39,129,1.46677
35,135,2.07538
29,121,1.35551
32,135,1.76548
29,127,1.46944
22,104,1.32247
32,113,1.64941
30,122,1.70321
33,129,2.10325
29,100,1.71225
27,115,1.78941
34,108,1.97552
17,113,1.46957
29,116,1.49698
38,116,1.69753
23,121,2.14753
26,118,1.51386
23,92,1.22669
23,84,1.06453
31,104,1.56379
35,111,1.68585
19,105,1.5613
26,135,2.89935
20,96,1.70901
33,126,2.51883
30,142,2.22591
13,113,1.66857
32,117,1.88725
23,108,1.59924
20,106,1.03881
23,135,1.56562
21,126,1.0439
25,125,1.98615
22,118,1.63773
22,108,1.13019
18,121,1.11614
28,107,1.20014
23,129,1.27876
24,126,1.66574
29,105,1.52129
16,108,1.70825
18,113,1.56687
39,152,2.26038
34,125,1.67282
19,123,1.74667
18,124,1.21871
27,114,1.61592
20,109,1.13973
29,147,1.87999
22,119,1.35172
23,125,1.9175
24,117,2.01553
31,119,1.95303
20,107,2.12079
25,114,1.7985
19,103,1.71477
15,107,1.01064
21,123,1.62002
24,123,1.98019
21,101,1.40715
27,101,1.80983
20,99,1.38646
20,121,1.39405
23,118,1.27874
24,110,1.19225
22,120,1.5747
21,101,1.13431
30,104,1.5887
21,108,1.77397
29,108,1.41605
22,128,1.52701
18,98,1.19829
16,114,1.39696
27,110,1.30791
27,112,1.56017
30,116,1.53309
25,110,2.01753
30,120,2.19173
15,119,1.76572
20,129,1.95498
27,134,2.02464
24,107,1.94286
18,100,1.1306
30,128,2.33722
15,138,2.70728
18,129,2.06791
29,113,1.90271
21,97,1.18866
24,127,1.73558
18,112,1.59319
25,123,1.57271
24,135,1.98738
20,85,1.21579
22,121,1.69288
28,112,1.64381
14,87,0.904805
14,90,1.18507
29,120,1.53555
23,135,1.77804
20,101,1.83363
15,86,1.30539
23,130,1.70814
24,117,1.70368
20,118,1.52076
21,108,1.13252
14,95,1.01369
20,95,0.800234
10,88,0.801775
17,78,0.841957
30,135,1.44666
26,107,1.05731
8,81,0.853849
19,102,1.48371
22,110,1.58074
22,128,1.54323
18,102,1.18086
21,112,1.19774
24,117,1.18299
25,101,0.986453
18,107,1.04788
15,103,1.06727
19,115,1.65139
22,129,1.65781
14,107,0.936031
10,82,0.787157
19,109,1.6612
12,112,1.27151
21,95,1.01961
19,106,1.26692
17,135,1.42603
24,109,1.3529
34,122,1.83542
23,116,1.33609
17,123,1.45124
12,124,1.47368
21,122,1.5553
16,96,1.05374
22,142,1.58798
29,143,1.96863
27,144,1.89124
16,111,1.39318
32,120,2.1308
23,104,1.12653
20,122,1.77422
27,133,1.6527
25,131,1.61294
17,120,0.998456
26,118,1.50286
25,91,1.29188
14,83,1.6195
17,103,1.53598
21,114,1.71476
30,117,1.80335
20,110,1.72222
11,89,0.802509
25,98,1.20041
20,115,1.77293
27,125,1.60976
19,125,1.71566
20,132,1.93745
23,108,1.53318
15,102,1.41945
18,104,1.32251
23,126,1.94496
14,107,1.24071
20,109,1.59238
32,134,2.0127
18,123,2.11745
24,89,1.49594
22,108,1.51364
22,104,1.34648
19,98,0.984872
20,112,1.06357
17,105,1.52053
18,80,1.22083
28,123,1.50268
17,95,1.26201
21,91,1.13561
7,79,0.978531
30,102,1.101
23,104,1.45405
13,97,1.01228
24,109,1.30827
26,103,1.33506
24,107,1.40985
28,100,1.64497
22,115,1.46594
19,96,1.11656
11,71,0.747355
10,107,1.11901
20,101,1.01958
27,100,1.41332
28,136,1.54016
24,136,1.54185
18,115,1.09843
20,106,1.07074
29,134,1.69908
23,108,1.12517
19,85,0.976537
26,128,1.81978
19,102,1.15979
24,123,1.44398
24,121,2.00355
27,119,1.81705
14,120,2.20717
19,128,2.08522
27,149,2.95489
