new_car_num, all_car_num, compuation_time
0,0,0.0016346
0,0,0.0013452
21,21,0.256937
30,37,0.506675
39,47,0.52058
25,51,0.462948
38,71,0.477474
34,88,0.702619
31,89,0.546343
31,76,0.623416
34,85,0.803349
28,79,0.880667
39,75,0.797958
33,80,0.647274
38,80,0.993508
32,89,0.726721
29,77,0.80251
38,100,1.12573
40,90,1.18701
29,71,0.643362
36,84,1.37896
32,86,1.07746
24,82,0.788176
36,83,0.999454
27,74,0.927826
31,93,1.0644
29,89,0.973829
25,72,0.813697
32,87,0.83338
21,71,0.572087
28,75,0.577469
30,100,0.886337
16,75,0.570886
21,58,0.464597
31,74,0.683319
23,79,0.632098
18,49,0.39281
24,77,1.06126
21,80,0.687279
26,85,0.843577
30,71,0.987112
24,77,0.792945
31,87,0.731841
21,69,0.768486
33,91,1.04678
22,76,0.924239
24,87,1.07718
29,88,0.763032
22,67,0.907752
17,63,0.66832
21,69,0.532719
26,63,0.767984
11,58,0.421933
25,77,0.728342
25,58,0.493707
19,75,0.729621
26,77,0.691015
18,63,0.368302
15,64,0.620395
27,70,0.543403
18,68,0.546671
29,77,0.631583
31,74,0.609911
14,74,0.604647
20,68,0.445469
24,63,0.49622
17,69,0.405209
22,63,0.49795
15,45,0.429277
22,60,0.50311
14,48,0.348927
13,47,0.525206
22,64,0.397992
17,52,0.424913
9,38,0.4133
18,46,0.338037
12,46,0.311747
23,65,0.562264
12,69,0.519291
15,50,0.530175
14,67,0.382957
14,43,0.295698
19,46,0.387063
14,54,0.351495
16,52,0.318037
20,57,0.404726
22,60,0.517494
13,52,0.427411
19,49,0.480249
16,54,0.399343
18,41,0.469157
11,46,0.663944
15,47,0.447887
13,44,0.23926
16,43,0.293219
13,33,0.266752
16,32,0.251163
18,61,0.485765
12,39,0.295051
9,34,0.225018
16,39,0.257199
16,37,0.297827
21,39,0.358002
11,45,0.490824
8,28,0.248326
12,31,0.226225
9,20,0.14414
13,38,0.338533
5,23,0.158078
5,13,0.14782
7,20,0.150347
12,28,0.173308
7,15,0.160428
3,10,0.0905357
9,21,0.201079
6,16,0.117537
5,17,0.0954688
8,18,0.113563
7,18,0.150903
