car_id, path, estimated_travel_timie
car_0,SS115.751
car_1,SRS135.055
car_10,SS117.223
car_11,SS116.967
car_12,SSS139.247
car_13,S95.4618
car_14,S95.5512
car_15,RLRS156.74
car_16,LR115.143
car_17,LSS140.34
car_18,L95.6601
car_19,LRSS159.371
car_2,L93.5668
car_20,SS117.754
car_21,RLR135.294
car_22,RL116.347
car_23,S96.7554
car_24,SS118.959
car_25,SS119.138
car_27,SR116.149
car_28,RS116.06
car_3,S93.4579
car_4,SLS139.625
car_5,S94.6621
car_6,SLS139.267
car_7,SS117.223
car_8,RS113.966
car_9,SS117.044
car_1,SRS135.044
car_10,SS117.212
car_11,SSS139.34
car_14,S95.54
car_15,RLRS156.729
car_17,LSS140.329
car_18,L95.6489
car_19,LRSS159.36
car_20,SS117.743
car_21,RLRS157.575
car_22,RLR135.64
car_23,S96.7442
car_24,SS118.947
car_25,SS119.126
car_26,LSR139.029
car_27,SRS138.43
car_28,RS116.048
car_29,SS119.747
car_3,S93.4467
car_30,LL119.786
car_31,SS119.836
car_32,S97.7227
car_33,L97.4739
car_34,LS120.035
car_35,SSSS165.626
car_36,RS118.052
car_37,SRSS163.348
car_38,SRSS162.906
car_39,SS121.309
car_4,SL117.321
car_40,LL121.658
car_41,S99.0164
car_42,SSS146.458
car_43,SR118.142
car_44,RSS140.434
car_45,LSS144.242
car_46,SS122.754
car_47,RS119.92
car_48,LS121.77
car_49,LRL141.368
car_5,SS116.944
car_50,SSS144.312
car_51,SSS145.516
car_52,RLS142.364
car_53,RLR140.471
car_54,SS122.951
car_55,LRL142.473
car_56,RLRS162.162
car_57,SRL143.37
car_58,RLRS162.472
car_59,RLRSL184.963
car_6,SL116.963
car_60,LRLS165.57
car_61,SS124.799
car_62,LL124.062
car_63,S101.73
car_64,RSS144.422
car_65,S102.841
car_66,SS125.223
car_67,S102.931
car_68,RLRSL185.895
car_69,LRL144.477
car_7,SS117.212
car_70,SS125.134
car_71,RLR143.099
car_72,L103.754
car_73,SL126.783
car_74,SS126.027
car_75,L103.754
car_76,RLRS165.481
car_77,SS125.938
car_78,LRL145.281
