0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,

0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,

1,0,0,3,0,0,1,1,0,
1,0,0,3,0,0,1,1,0,

8,5,5,6,0,3,1,6,5,
8,5,5,6,0,3,1,6,5,

7,7,8,7,0,5,11,4,5,
7,7,8,7,0,5,11,4,5,

9,5,4,8,0,7,14,9,12,
9,5,4,8,0,7,14,9,12,

11,4,10,5,0,4,4,7,12,
11,4,10,5,0,4,4,7,12,

20,9,18,14,0,15,11,8,12,
20,9,18,14,0,15,11,8,12,

19,7,13,13,6,13,17,14,19,
19,7,13,13,6,13,17,14,19,

6,12,11,16,6,9,13,10,12,
6,12,11,16,6,9,13,10,12,

19,12,16,17,8,16,15,9,16,
19,12,16,17,8,16,15,9,16,

19,14,20,19,11,17,21,19,22,
19,14,20,19,11,17,21,19,22,

17,9,13,19,9,19,19,18,15,
17,9,13,19,9,19,19,18,15,

20,32,12,16,14,30,16,21,17,
20,32,12,16,14,30,16,21,17,

21,19,26,32,14,28,20,27,17,
21,19,26,32,14,28,20,27,17,

18,20,12,22,12,23,23,20,19,
18,20,12,22,12,23,23,20,19,

17,33,23,19,20,33,18,22,22,
17,33,23,19,20,33,18,22,22,

22,18,26,45,20,31,22,21,27,
22,18,26,45,20,31,22,21,27,

24,24,24,25,23,23,22,25,18,
24,24,24,25,23,23,22,25,18,

25,38,27,16,26,28,26,18,21,
25,38,27,16,26,28,26,18,21,

30,16,22,42,35,33,23,29,29,
30,16,22,42,35,33,23,29,29,

28,26,27,32,22,33,28,22,22,
28,26,27,32,22,33,28,22,22,

34,35,38,21,24,30,28,22,26,
34,35,38,21,24,30,28,22,26,

36,32,29,41,35,29,31,25,37,
36,32,29,41,35,29,31,25,37,

27,35,27,26,24,35,34,25,34,
27,35,27,26,24,35,34,25,34,

31,37,37,38,28,33,24,25,34,
31,37,37,38,28,33,24,25,34,

34,37,37,35,29,32,36,41,39,
34,37,37,35,29,32,36,41,39,

31,44,31,33,33,33,33,29,27,
31,44,31,33,33,33,33,29,27,

30,37,42,38,23,40,22,28,40,
30,37,42,38,23,40,22,28,40,

42,34,38,34,30,33,36,52,37,
42,34,38,34,30,33,36,52,37,

24,39,36,41,25,34,32,40,25,
24,39,36,41,25,34,32,40,25,

36,49,39,37,31,48,24,29,39,
36,49,39,37,31,48,24,29,39,

42,33,47,40,29,41,36,58,27,
42,33,47,40,29,41,36,58,27,

30,31,41,43,29,39,39,38,29,
30,31,41,43,29,39,39,38,29,

36,49,31,32,35,52,28,32,37,
36,49,31,32,35,52,28,32,37,

47,40,40,41,30,50,24,67,22,
47,40,40,41,30,50,24,67,22,

28,39,40,42,31,41,43,41,40,
28,39,40,42,31,41,43,41,40,

45,41,33,28,35,42,45,36,30,
45,41,33,28,35,42,45,36,30,

43,41,35,45,27,46,34,55,42,
43,41,35,45,27,46,34,55,42,

35,41,49,33,28,52,37,40,39,
35,41,49,33,28,52,37,40,39,

43,38,38,29,43,35,41,44,37,
43,38,38,29,43,35,41,44,37,

42,40,39,42,33,40,33,46,41,
42,40,39,42,33,40,33,46,41,

39,42,44,40,31,47,37,50,47,
39,42,44,40,31,47,37,50,47,

38,43,42,32,41,50,50,40,39,
38,43,42,32,41,50,50,40,39,

38,34,40,41,36,47,40,54,37,
38,34,40,41,36,47,40,54,37,

37,52,29,39,29,47,36,36,59,
37,52,29,39,29,47,36,36,59,

35,38,39,35,42,35,51,40,45,
35,38,39,35,42,35,51,40,45,

36,34,40,43,39,49,36,48,39,
36,34,40,43,39,49,36,48,39,

35,48,49,48,38,40,36,48,59,
35,48,49,48,38,40,36,48,59,

38,44,29,43,39,41,41,47,49,
38,44,29,43,39,41,41,47,49,

35,35,42,35,35,41,39,45,44,
35,35,42,35,35,41,39,45,44,

38,55,35,39,38,49,46,46,55,
38,55,35,39,38,49,46,46,55,

44,43,36,47,35,40,50,55,47,
44,43,36,47,35,40,50,55,47,

47,38,40,36,37,44,38,46,45,
47,38,40,36,37,44,38,46,45,

36,41,34,36,40,49,39,44,43,
36,41,34,36,40,49,39,44,43,

46,40,39,49,38,42,51,57,46,
46,40,39,49,38,42,51,57,46,

37,47,35,39,36,39,34,48,45,
37,47,35,39,36,39,34,48,45,

36,43,33,36,45,52,51,52,42,
36,43,33,36,45,52,51,52,42,

42,39,39,50,43,49,47,42,47,
42,39,39,50,43,49,47,42,47,

