0_0_computation,0_1_computation,0_2_computation,1_0_computation,1_1_computation,1_2_computation,2_0_computation,2_1_computation,2_2_computation,0_0_MEC_range,0_1_MEC_range,0_2_MEC_range,1_0_MEC_range,1_1_MEC_range,1_2_MEC_range,2_0_MEC_range,2_1_MEC_range,2_2_MEC_range,
0.0030472,0.0010479,0.0012694,0.0023852,0.0009582,0.0087495,0.0063408,0.0045361,0.002003,1_1|1_2|1_3|2_1|2_2|2_3|3_1|3_2|3_3|,1_4|1_5|1_6|2_4|2_5|2_6|3_4|3_5|3_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_7|3_8|3_9|,4_1|4_2|4_3|5_1|5_2|5_3|6_1|6_2|6_3|,4_4|4_5|4_6|5_4|5_5|5_6|6_4|6_5|6_6|,4_7|4_8|4_9|5_7|5_8|5_9|6_7|6_8|6_9|,7_1|7_2|7_3|8_1|8_2|8_3|9_1|9_2|9_3|,7_4|7_5|7_6|8_4|8_5|8_6|9_4|9_5|9_6|,7_7|7_8|7_9|8_7|8_8|8_9|9_7|9_8|9_9|,
0.0013835,0.0019703,0.0016851,0.0031761,0.0016902,0.0016766,0.0027175,0.0021856,0.0037748,1_1|1_2|1_3|2_1|2_2|2_3|3_1|3_2|3_3|,1_4|1_5|1_6|2_4|2_5|2_6|3_4|3_5|3_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_7|3_8|3_9|,4_1|4_2|4_3|5_1|5_2|5_3|6_1|6_2|6_3|,4_4|4_5|4_6|5_4|5_5|5_6|6_4|6_5|6_6|,4_7|4_8|4_9|5_7|5_8|5_9|6_7|6_8|6_9|,7_1|7_2|7_3|8_1|8_2|8_3|9_1|9_2|9_3|,7_4|7_5|7_6|8_4|8_5|8_6|9_4|9_5|9_6|,7_7|7_8|7_9|8_7|8_8|8_9|9_7|9_8|9_9|,
0.132991,0.270481,0.606269,0.275155,0.0025685,0.186716,0.422189,0.13455,0.131729,1_1|1_2|1_3|2_1|2_2|3_1|3_2|4_2|,1_4|1_5|1_6|2_4|2_5|2_6|2_3|2_7|1_7|,1_8|1_9|2_8|2_9|3_8|3_9|4_8|,4_1|5_1|5_2|6_1|6_2|7_2|,4_4|4_5|4_6|5_4|5_5|5_6|6_4|6_5|6_6|3_4|3_5|3_6|3_3|7_4|7_5|7_6|3_7|4_7|5_7|6_7|7_7|4_3|5_3|6_3|7_3|,4_9|5_8|5_9|6_8|6_9|7_8|,7_1|8_1|8_2|9_1|9_2|9_3|,8_4|8_5|8_6|9_4|9_5|9_6|8_7|8_3|,7_9|8_8|8_9|9_7|9_8|9_9|,
0.485866,0.742651,0.524024,0.695605,0.0021654,0.297992,0.590823,0.589373,0.594195,1_1|1_2|1_3|2_1|2_2|3_1|3_2|4_2|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_8|3_9|4_8|,4_1|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_9|5_8|5_9|6_8|6_9|7_8|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|,7_9|8_8|8_9|9_7|9_8|9_9|8_7|,
0.193869,0.669749,0.483463,0.585612,0.0025002,0.520359,0.537573,0.296379,0.592483,1_1|1_2|1_3|2_1|2_2|3_1|3_2|4_2|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,4_1|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_9|5_8|5_9|6_8|6_9|7_8|4_8|3_8|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|,7_9|8_7|8_8|8_9|9_7|9_8|9_9|,
0.831115,0.528853,0.518778,0.510738,0.0022428,0.52959,0.466344,0.18382,0.614107,1_1|1_2|1_3|2_1|2_2|3_1|3_2|4_2|2_3|,1_4|1_5|1_6|1_7|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,4_1|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_8|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|,8_7|8_8|8_9|9_7|9_8|9_9|,
0.836336,0.536118,0.440937,0.317984,0.0024557,0.405115,0.590083,0.244599,0.661895,1_1|1_2|1_3|2_1|2_2|2_3|3_1|3_2|4_2|2_4|,1_4|1_5|1_6|1_7|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,4_1|5_1|5_2|6_1|6_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_8|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|7_2|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|,8_7|8_8|8_9|9_7|9_8|9_9|,
0.637097,0.565922,0.584978,0.438096,0.0028021,0.931611,0.598024,0.83003,0.266304,1_1|1_2|2_1|2_2|3_1|,1_4|1_5|1_6|1_7|2_5|2_6|2_7|2_4|2_3|1_3|,1_8|1_9|2_8|2_9|3_9|,4_1|5_1|5_2|6_1|6_2|7_2|4_2|3_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_8|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|8_7|,8_8|8_9|9_7|9_8|9_9|,
0.362658,0.831091,0.375633,0.704661,2.22536,0.952322,0.470387,0.779883,0.539215,1_1|1_2|2_1|2_2|3_1|,1_3|1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_8|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|,8_8|8_9|9_7|9_8|9_9|,
0.331905,0.619394,0.433724,0.542736,1.3878,0.425909,0.258213,0.678105,0.502851,1_1|1_2|2_1|2_2|3_1|,1_3|1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|,1_8|1_9|2_8|2_9|3_9|2_7|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|,8_8|8_9|9_7|9_8|9_9|7_8|,
