car_0,LS
car_1,SSLSRS
car_10,RSSR
car_11,RSLR
car_12,SSSSL
car_13,LL
car_14,SSSLSSRS
car_15,SSSLS
car_16,LSL
car_17,SSSRSSLS
car_18,SSSR
car_19,SSSSLR
car_2,RSSSRL
car_20,SRSSLR
car_21,SSSSS
car_22,LSSSS
car_23,LSRL
car_24,SSSSRL
car_25,SSSLSSSRS
car_26,SSRSLR
car_27,RSS
car_28,SRSSLR
car_29,SLS
car_3,R
car_30,SSSRSSSLS
car_31,LL
car_32,SSSSL
car_33,RSSLR
car_34,SSSRSLR
car_35,LL
car_36,SSRSSLR
car_37,SSL
car_38,LSL
car_39,SSSSL
car_4,SSSLS
car_40,SSSSLS
car_41,SSSSRSS
car_42,RSR
car_43,SR
car_44,SSSSLR
car_5,SSSRL
car_6,SSSLSSRS
car_7,SSSRSSLR
car_8,SLSSSRL
car_9,SLSSSRL
car_12,SSSL
car_16,SL
car_18,SSR
car_2,RSSSRL
car_21,SSSS
car_22,SSSS
car_25,SSSLSSSRS
car_3,R
car_31,LL
car_32,SSSSL
car_37,SSL
car_39,SSSSL
car_42,RSR
car_43,SR
car_45,SSSSR
car_46,SSSSRSL
car_47,L
car_48,SR
car_49,LSSSS
car_50,L
car_51,LL
car_52,RSR
car_53,SSSRSSLS
car_54,SSSRSLR
car_55,RSR
car_56,RSSR
car_57,SSSSR
car_58,LSSSL
car_59,SSSLSSSRL
car_6,SSLSSRS
car_60,LSSL
car_61,SSSL
car_62,RSSR
car_63,LL
car_64,SSSSRL
car_65,SSSL
car_66,SSSSS
car_67,LSL
car_68,RR
car_69,SSSLSSSRL
car_70,SSR
car_71,SSSSS
car_72,SSSSL
car_73,SSSSLS
car_74,RSS
car_75,LSSSL
car_76,SSR
car_77,LSSL
car_78,SRLSSRL
car_79,SLSSS
car_80,RSLR
car_81,LL
car_82,SL
car_83,LSSSS
car_100,SSSRSSSLR
car_101,LSL
car_102,SR
car_103,SSSLSSSRL
car_104,LSSL
car_105,RSSLR
car_106,SSSSS
car_107,LL
car_108,SSSLS
car_109,SSSRSSLR
car_110,SSR
car_111,RSSS
car_112,RSS
car_113,SLSRL
car_114,LL
car_115,SSSSLR
car_116,SSSSLR
car_117,SSSRSSLS
car_118,LL
car_119,SSSRSLR
car_12,SSSL
car_120,SSSRSSLR
car_121,SSSRSSLR
car_122,SSSSS
car_123,SSSSS
car_124,SSR
car_125,RSR
car_126,LL
car_127,SRSSSLSR
car_16,SL
car_18,SSR
car_21,SSSS
car_22,SSSS
car_25,SSLSSSRS
car_31,L
car_32,SSSL
car_37,SL
car_39,SSSL
car_41,SSSRSS
car_42,SR
car_43,R
car_47,L
car_56,SSR
car_57,SSSR
car_65,SSSL
car_68,RR
car_74,RSS
car_75,LSSSL
car_78,RLSSSRL
car_82,SL
car_83,LSSSS
car_84,RR
car_85,SSSRSLR
car_86,SSSSRSS
car_87,RSSS
car_88,SL
car_89,SSLSSSRL
car_90,RR
car_91,LSL
car_92,SSSLSS
car_93,SSSRSLS
car_94,R
car_95,SLSSSRL
car_96,SSSRSSSLS
car_97,SSSSLSR
car_98,SSSSS
car_99,SSSSRL
