ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_313,339.893,374,34.1073,-2.43939
car_1071,304.114,335.2,31.0855,-1.72472
car_1530,322.004,355.2,33.1964,-1.74046
car_708,232.558,251.6,19.0419,0.177591
car_47,107.335,110.4,3.06548,-0.250853
car_1949,161.002,170.8,9.79821,-0.130888
car_3569,143.113,149.6,6.4873,-2.81338
car_2694,339.893,369.6,29.7073,-1.96966
car_2948,143.113,149.2,6.0873,-1.41405
car_450,393.56,431.2,37.6401,0.0524893
car_151,375.671,418.4,42.7292,-1.90637
car_50,125.224,132.8,7.57639,-0.785508
car_3235,250.447,272.8,22.3528,-1.67742
car_1062,107.335,109.6,2.26548,0.559738
car_1215,125.224,132,6.77639,-1.69223
car_142,107.335,111.6,4.26548,-1.86719
car_1783,322.004,356.8,34.7964,-0.599189
car_582,214.669,232,17.331,-0.319439
car_2580,250.447,270.4,19.9528,-0.229529
car_2489,107.335,115.2,7.86548,-4.99315
car_7,107.335,112.8,5.46548,-3.24261
car_1747,483.005,525.6,42.5946,-0.480441
car_461,357.782,390,32.2183,-1.91105
car_106,447.227,486.8,39.5728,-0.456327
car_528,125.224,131.2,5.97639,1.69469
car_1026,304.114,334,29.8855,-0.842073
car_1408,161.002,171.2,10.1982,-1.78965
car_1501,465.116,513.6,48.4837,-1.64644
car_14,89.4454,91.6,2.15456,-2.23166
car_149,161.002,169.2,8.19821,-0.434717
car_1494,143.113,150.8,7.6873,-1.90626
car_1788,304.114,333.2,29.0855,-1.87527
car_646,214.669,234.4,19.731,-2.06007
car_462,196.78,210.4,13.62,-1.72372
car_105,411.449,453.6,42.151,-1.71166
car_1744,196.78,215.2,18.42,-1.59549
car_1025,393.56,430.4,36.8401,-1.83052
car_1502,357.782,391.2,33.4183,-1.77059
car_17,107.335,108.4,1.06548,-0.458044
car_38,125.224,132.8,7.57639,-0.877923
car_755,375.671,415.6,39.9292,-0.591675
car_315,196.78,212.8,16.02,-1.85245
car_1077,286.225,316,29.7746,-1.26103
car_1118,339.893,374.4,34.5073,-1.70218
car_1536,357.782,391.6,33.8183,-1.83882
car_41,107.335,111.6,4.26548,-1.77703
car_958,232.558,256,23.4419,-0.177851
car_1841,393.56,435.6,42.0401,-0.267275
car_402,250.447,272.8,22.3528,-1.94357
car_1760,143.113,151.6,8.4873,0.831866
car_1562,429.338,468,38.6619,-1.88103
car_37,214.669,233.2,18.531,-1.02361
car_1070,232.558,249.6,17.0419,-1.96168
car_312,357.782,392.4,34.6183,-0.692714
car_1531,322.004,350.4,28.3964,-1.66869
car_1948,339.893,372.8,32.9073,0.642278
car_709,214.669,235.2,20.531,-11.7392
car_46,107.335,111.6,4.26548,-1.78089
car_3568,196.78,215.6,18.82,-1.55062
car_2695,357.782,394.4,36.6183,-2.70008
car_2949,178.891,188.8,9.90913,-0.471533
car_451,339.893,376.4,36.5073,-0.316756
car_150,357.782,389.2,31.4183,-0.34799
car_2919,268.336,289.2,20.8637,-1.45316
car_401,250.447,271.2,20.7528,-1.92966
car_1842,232.558,254.8,22.2419,-1.59048
car_1763,268.336,295.2,26.8637,-1.62501
car_3299,107.335,108.8,1.46548,-0.338366
car_1561,250.447,274.4,23.9528,-0.57803
car_759,304.114,336.8,32.6855,-1.65914
car_34,125.224,132,6.77639,-1.69277
car_1586,447.227,493.6,46.3728,-1.64325
car_1999,393.56,431.6,38.0401,-1.92447
car_93,107.335,109.6,2.26548,-0.364842
car_2697,196.78,215.6,18.82,-1.39524
car_453,393.56,432.4,38.8401,-1.91213
car_152,286.225,312.8,26.5746,-1.95971
car_1072,125.224,130.8,5.57639,-1.62944
car_310,214.669,231.6,16.931,-0.141872
car_1533,357.782,394,36.2183,-1.79456
car_44,125.224,132,6.77639,-1.80576
car_2243,178.891,190,11.1091,-0.326237
car_195,232.558,253.6,21.0419,-1.64966
car_357,89.4454,91.6,2.15456,-2.23588
car_1581,143.113,153.6,10.4873,-2.15474
car_94,107.335,110,2.66548,-0.0542868
car_284,125.224,130.4,5.17639,-0.375039
car_473,143.113,149.6,6.4873,-0.629421
car_132,304.114,336,31.8855,-0.98057
car_1751,286.225,314.4,28.1746,-0.162266
car_1012,286.225,314.4,28.1746,-1.59735
car_1513,250.447,272.8,22.3528,-1.7259
car_60,125.224,128.8,3.57639,-0.467597
car_475,322.004,355.2,33.1964,-1.90103
car_134,393.56,441.2,47.6401,-1.13259
car_1757,196.78,211.6,14.82,-1.7756
car_282,143.113,153.2,10.0873,-1.84647
car_1014,339.893,377.2,37.3073,-1.87832
car_1515,232.558,255.2,22.6419,-1.06358
car_66,125.224,130.4,5.17639,-1.99352
car_2693,268.336,292.8,24.4637,-1.9547
car_156,89.4454,91.2,1.75456,0.376661
car_457,161.002,172.8,11.7982,-1.79062
car_1119,232.558,252.8,20.2419,-0.270566
car_314,107.335,111.6,4.26548,-2.15155
car_1537,107.335,108.4,1.06548,-0.457506
car_1076,286.225,314.8,28.5746,-1.67563
car_40,143.113,153.2,10.0873,-3.8468
car_2478,196.78,213.2,16.42,-1.75875
car_281,125.224,129.2,3.97639,-0.312284
car_476,161.002,173.2,12.1982,-1.85202
car_137,322.004,355.6,33.5964,-0.249028
car_1754,143.113,149.2,6.0873,-0.397507
car_339,107.335,112.8,5.46548,-0.853808
car_1017,411.449,448,36.551,-1.87306
car_1516,357.782,390.8,33.0183,-0.476755
car_65,125.224,133.6,8.37639,-1.69148
car_325,107.335,111.6,4.26548,-2.7827
car_1524,143.113,152.4,9.2873,-1.51928
car_1007,411.449,451.6,40.151,-1.55298
car_79,304.114,337.6,33.4855,1.14838
car_2688,268.336,289.6,21.2637,-2.06651
car_127,107.335,110,2.66548,-2.74681
car_444,125.224,130.4,5.17639,-0.143447
car_754,286.225,316.4,30.1746,-2.2415
car_39,143.113,150.4,7.2873,0.712868
car_239,232.558,255.2,22.6419,-1.71374
car_1584,322.004,354.8,32.7964,-1.91656
car_91,125.224,130,4.77639,0.651366
car_3177,339.893,371.2,31.3073,-1.96604
car_2178,232.558,250,17.4419,-7.6067
car_437,196.78,213.2,16.42,-2.08282
car_1856,214.669,234,19.331,-1.65821
car_1715,268.336,294.4,26.0637,-1.72322
car_1557,322.004,355.2,33.1964,-2.22879
car_24,161.002,171.2,10.1982,-1.70744
car_1580,375.671,409.2,33.5292,-1.53234
car_95,125.224,130,4.77639,-0.414537
car_3,161.002,170.8,9.79821,-0.338401
car_146,357.782,391.2,33.4183,-1.93846
car_1787,322.004,354.4,32.3964,-2.51225
car_3389,143.113,149.2,6.0873,-0.413356
car_1211,304.114,332,27.8855,-4.60388
car_649,178.891,193.2,14.3091,-1.91456
car_2809,125.224,132,6.77639,-4.60353
car_54,143.113,149.6,6.4873,-0.230816
car_3231,286.225,314,27.7746,-2.4698
car_2038,447.227,492,44.7728,-1.92869
