ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_8011,178.891,196.4,17.5091,-0.05554
car_13608,286.225,324,37.7746,0.00962695
car_1566,125.224,134,8.77639,-0.790302
car_5409,286.225,323.2,36.9746,-0.281443
car_33,107.335,108.8,1.46548,-0.422838
car_8842,286.225,336.4,50.1746,-2.90737
car_12030,107.335,108.8,1.46548,-0.435897
car_5702,107.335,116,8.66548,-4.65517
car_3146,143.113,158.4,15.2873,-2.99084
car_9517,375.671,433.6,57.9292,3.31096
car_14502,178.891,200,21.1091,-2.73404
car_406,125.224,129.2,3.97639,-0.146595
car_14609,125.224,134.8,9.57639,3.46153
car_1845,322.004,359.6,37.5964,-4.67441
car_3982,286.225,313.2,26.9746,-6.23531
car_1764,143.113,154,10.8873,-2.01531
car_2181,429.338,485.6,56.2619,-1.10926
car_345,89.4454,92.4,2.95456,118.4
car_12791,178.891,196.8,17.9091,-1.21016
car_5243,125.224,130,4.77639,-1.82774
car_20,232.558,258.4,25.8419,1.82794
car_9676,339.893,388,48.1073,-0.568298
car_8437,107.335,111.6,4.26548,-5.30783
car_4543,107.335,110,2.66548,1.12629
car_7524,322.004,358,35.9964,-0.118903
car_6978,107.335,113.2,5.86548,-0.344505
car_1553,107.335,111.6,4.26548,-2.13867
car_11435,143.113,150,6.8873,-3.78531
car_433,125.224,129.2,3.97639,-0.417901
car_9504,143.113,152,8.8873,-0.282516
car_1852,214.669,232.8,18.131,0.932689
car_12315,411.449,456,44.551,-1.95882
car_1711,286.225,317.6,31.3746,-10.5581
car_352,161.002,170,8.99821,-1.34447
car_15219,304.114,348.4,44.2855,0.320539
car_5250,357.782,397.2,39.4183,-3.71163
car_3209,322.004,365.2,43.1964,-7.10383
car_3494,214.669,239.2,24.531,-4.44308
car_2989,375.671,418.8,43.1292,-3.83187
car_190,89.4454,90,0.554563,104
car_6993,268.336,311.2,42.8637,-1.97939
car_10064,304.114,340,35.8855,-1.06057
car_1192,161.002,169.2,8.19821,-1.99774
car_1264,250.447,274.4,23.9528,0.219008
car_227,89.4454,89.6,0.154563,107.6
car_5843,393.56,434.4,40.8401,-3.36254
car_2899,107.335,108.4,1.06548,-0.466166
car_2464,143.113,156.8,13.6873,4.56364
car_3698,339.893,377.6,37.7073,-2.72268
car_7096,196.78,223.6,26.82,0.418951
car_1740,143.113,150.8,7.6873,-1.7852
car_101,375.671,416.8,41.1292,-0.355668
car_9537,322.004,366,43.9964,-9.14624
car_466,339.893,375.2,35.3073,-0.301929
car_13,107.335,109.6,2.26548,0.738807
car_9605,286.225,326.4,40.1746,3.40847
car_15697,214.669,238.4,23.731,2.05087
car_13059,339.893,385.2,45.3073,3.55328
car_5522,214.669,239.6,24.931,-1.99213
car_2668,143.113,150.4,7.2873,0.923316
car_3447,214.669,247.2,32.531,0.760432
car_2211,125.224,130,4.77639,-0.286344
car_1580,125.224,139.2,13.9764,-3.26464
car_11462,178.891,191.6,12.7091,-1.57381
car_5764,107.335,109.2,1.86548,-0.649457
car_14281,339.893,391.6,51.7073,-4.60293
car_8824,214.669,240,25.331,1.47745
car_95,143.113,154.8,11.6873,1.26394
car_9683,268.336,303.6,35.2637,-1.42724
car_2242,250.447,275.6,25.1528,0.934872
car_3490,232.558,256.4,23.8419,-2.17544
car_194,107.335,111.6,4.26548,-2.1512
car_8846,125.224,130.4,5.17639,-0.247132
car_37,143.113,152.4,9.2873,-1.8122
car_12034,322.004,352.8,30.7964,-6.03541
car_5706,411.449,458,46.551,2.74512
car_709,125.224,135.2,9.97639,0.897891
car_1948,357.782,400.8,43.0183,-5.03545
car_7159,375.671,420.8,45.1292,-2.60734
car_15642,375.671,416.4,40.7292,0.243223
car_46,339.893,382,42.1073,-0.907833
car_4521,143.113,152.8,9.6873,-0.283303
car_11079,232.558,268,35.4419,-0.350982
car_1070,178.891,194.4,15.5091,-2.41767
car_4600,286.225,320.8,34.5746,-5.50272
car_312,322.004,352.4,30.3964,-4.70536
car_5290,250.447,292,41.5528,-1.88365
car_1531,322.004,357.2,35.1964,-1.7766
car_451,357.782,392.8,35.0183,-4.05216
car_2695,107.335,112.4,5.06548,0.231616
car_3568,304.114,343.6,39.4855,-0.337241
car_2949,322.004,361.2,39.1964,1.18222
car_17987,214.669,229.2,14.531,-5.65227
car_150,107.335,110,2.66548,0.772188
car_3111,143.113,158.4,15.2873,3.12866
car_2603,375.671,414,38.3292,-3.7435
car_1439,214.669,234,19.331,-2.61139
car_4447,143.113,156,12.8873,-3.80907
car_216,107.335,110,2.66548,-0.0533571
car_1277,214.669,236,21.331,-0.810767
car_4900,447.227,507.2,59.9728,-0.315953
car_2586,178.891,193.6,14.7091,-1.32758
car_1,125.224,129.6,4.37639,0.243101
car_3510,393.56,444,50.4401,0.181777
car_2687,357.782,394.4,36.6183,3.10321
car_2953,393.56,446,52.4401,-1.60208
car_128,268.336,293.6,25.2637,-0.656096
car_17999,107.335,114.8,7.46548,-0.761908
car_292,107.335,111.6,4.26548,-4.07517
car_520,89.4454,91.6,2.15456,133.6
car_8652,304.114,342.8,38.6855,-1.48082
car_9538,322.004,361.6,39.5964,-0.517243
car_469,375.671,416.4,40.7292,1.57904
car_2765,322.004,368.4,46.3964,-1.55267
car_680,161.002,174.8,13.7982,0.341634
car_14797,375.671,426,50.3292,-2.09281
car_3340,483.005,527.6,44.5946,-4.92137
car_12544,107.335,108.8,1.46548,-0.240083
car_12971,304.114,342.4,38.2855,-0.515675
car_279,107.335,113.2,5.86548,-1.89985
car_5016,196.78,219.2,22.42,2.17265
car_412,125.224,133.2,7.97639,2.9987
car_9521,161.002,177.6,16.5982,1.8758
car_539,322.004,358.8,36.7964,-5.77877
car_6375,411.449,457.2,45.751,-0.566273
car_113,250.447,270.8,20.3528,-4.27717
car_16598,250.447,277.6,27.1528,-11.5934
car_302,107.335,111.6,4.26548,-2.14325
car_9118,447.227,495.6,48.3728,-4.26422
car_5296,322.004,356.4,34.3964,-2.7317
car_4109,196.78,222,25.22,-0.250209
car_4606,357.782,406,48.2183,-3.81604
car_314,125.224,133.6,8.37639,-1.79742
car_1537,322.004,360.8,38.7964,-3.76569
car_1076,178.891,192.4,13.5091,-0.172785
car_6918,393.56,449.6,56.0401,-2.78579
car_4527,304.114,356.8,52.6855,5.89782
car_1119,357.782,396.4,38.6183,-3.11233
car_15644,357.782,393.6,35.8183,0.590165
car_40,125.224,132,6.77639,-1.87921
car_457,322.004,362,39.9964,0.892453
car_2693,107.335,109.2,1.86548,0.244782
car_156,143.113,154.4,11.2873,-0.971304
car_4736,196.78,216.4,19.62,-5.83084
car_10654,375.671,422.4,46.7292,1.55174
car_1326,286.225,329.6,43.3746,1.91285
car_1739,161.002,173.2,12.1982,-5.20314
car_574,107.335,108.8,1.46548,-0.415647
car_9991,339.893,384.8,44.9073,-1.2026
car_880,286.225,318,31.7746,-2.83234
car_9425,339.893,380.4,40.5073,-2.50808
car_8655,125.224,136.4,11.1764,-2.40142
car_527,107.335,109.6,2.26548,0.734407
car_6363,214.669,247.6,32.931,-3.16107
car_1748,125.224,134,8.77639,-0.754882
car_109,161.002,174.4,13.3982,-2.08874
car_16973,161.002,172.4,11.3982,-0.786631
car_17978,161.002,170.8,9.79821,-2.06505
car_1407,232.558,252.8,20.2419,-1.81071
car_4659,214.669,249.6,34.931,-2.61377
car_1029,107.335,114.8,7.46548,0.377956
car_7434,178.891,204,25.1091,-1.26565
car_5285,107.335,108.8,1.46548,-0.167382
car_12803,250.447,283.6,33.1528,-0.781228
car_13668,393.56,441.2,47.6401,-1.5561
car_15222,411.449,466.4,54.951,2.29208
car_4615,286.225,330,43.7746,0.581684
car_3232,250.447,284.8,34.3528,-0.803647
car_1065,339.893,377.6,37.7073,-4.23368
car_10012,429.338,492.8,63.4619,3.56587
car_11082,286.225,327.2,40.9746,-2.27482
car_57,125.224,132,6.77639,-1.88175
car_12050,107.335,114,6.66548,-0.13252
car_2684,304.114,346.8,42.6855,-1.18912
car_3513,304.114,348.8,44.6855,2.10477
car_2950,375.671,420,44.3292,-0.222481
car_448,232.558,257.2,24.6419,1.95942
car_1102,161.002,176.4,15.3982,1.80193
car_4538,125.224,136.8,11.5764,-1.56121
car_11060,107.335,113.6,6.26548,-2.81919
car_4112,107.335,112.8,5.46548,-0.948048
car_8057,375.671,421.6,45.9292,-1.7639
car_12821,107.335,112,4.66548,-0.0678832
car_329,107.335,111.6,4.26548,-1.87492
car_1528,322.004,363.2,41.1964,1.77596
car_75,322.004,356.4,34.3964,-1.32339
car_12076,411.449,458,46.551,-1.69352
car_15679,322.004,366.8,44.7964,-2.43023
car_7140,357.782,401.6,43.8183,0.189491
car_9201,250.447,274.8,24.3528,-3.18769
car_710,304.114,341.2,37.0855,-0.666402
car_1933,107.335,111.6,4.26548,-1.77774
car_4641,322.004,358.4,36.3964,-1.53996
car_1570,107.335,115.6,8.26548,-3.52579
car_7503,304.114,341.6,37.4855,-5.24969
car_1031,322.004,363.2,41.1964,3.50408
car_4560,393.56,435.2,41.6401,-1.77066
car_3309,125.224,140.8,15.5764,-1.61562
car_12938,447.227,502.4,55.1728,-0.551624
car_5057,178.891,193.2,14.3091,-4.4952
car_1686,125.224,134,8.77639,-3.1181
car_6377,286.225,328.8,42.5746,2.37392
car_111,125.224,130.4,5.17639,-0.174216
car_9523,304.114,340.4,36.2855,0.175158
car_410,357.782,395.6,37.8183,-1.77631
car_2864,268.336,298.4,30.0637,-0.26452
car_2550,125.224,137.6,12.3764,-4.57767
car_10632,339.893,371.2,31.3073,-1.52114
car_1304,304.114,343.2,39.0855,6.51517
car_3885,447.227,504.4,57.1728,-2.0201
car_9403,268.336,292.8,24.4637,-0.198831
car_15495,161.002,177.2,16.1982,1.60253
car_14319,483.005,547.2,64.1946,0.90879
car_512,143.113,156,12.8873,0.454528
car_8620,304.114,346.4,42.2855,-2.81939
car_2608,304.114,340,35.8855,1.42926
car_1432,214.669,236.8,22.131,1.89349
car_624,107.335,108.8,1.46548,-0.33393
car_471,411.449,459.2,47.751,3.08983
car_7081,339.893,372.8,32.9073,-1.80963
car_1753,232.558,255.6,23.0419,-0.11715
car_130,286.225,314.8,28.5746,-0.243983
car_286,143.113,154,10.8873,-1.89585
car_8044,161.002,183.2,22.1982,-1.53921
car_12836,339.893,385.2,45.3073,-2.63892
car_4660,375.671,420.4,44.7292,-2.79292
car_1511,232.558,258.8,26.2419,-8.28378
car_6587,143.113,156,12.8873,-4.03506
car_1010,339.893,385.6,45.7073,-1.76801
car_4501,357.782,407.2,49.4183,1.21521
car_8989,214.669,239.2,24.531,2.49405
car_62,125.224,134.8,9.57639,-0.346667
car_12007,107.335,108.8,1.46548,-0.150638
car_4715,125.224,130.8,5.57639,-0.338259
car_9019,232.558,262.8,30.2419,-2.37944
car_7714,286.225,324,37.7746,0.100189
car_10633,304.114,347.6,43.4855,-0.45259
car_1305,143.113,152.8,9.6873,0.89845
car_9402,286.225,328,41.7746,-2.09686
car_15494,322.004,356,33.9964,1.72421
car_8621,196.78,224.4,27.62,4.12371
car_513,107.335,110,2.66548,-0.2374
car_14318,107.335,110.4,3.06548,-0.152927
car_3884,375.671,420,44.3292,-3.38794
car_8045,304.114,342,37.8855,-2.42844
car_12837,161.002,178,16.9982,-1.53441
car_4661,268.336,304.8,36.4637,-0.116234
car_1510,357.782,403.6,45.8183,-2.59259
car_4500,107.335,108.8,1.46548,-0.159296
car_6586,161.002,185.6,24.5982,1.97353
car_1011,286.225,312.8,26.5746,3.03505
car_63,250.447,277.2,26.7528,0.645613
car_8988,411.449,465.2,53.751,-0.971876
car_12006,286.225,321.6,35.3746,-0.167368
car_3130,161.002,179.6,18.5982,-3.21909
car_7080,268.336,306,37.6637,-0.533629
car_1752,161.002,180.4,19.3982,-1.17635
car_17962,250.447,280.8,30.3528,-2.56626
car_131,125.224,132,6.77639,0.302993
car_470,107.335,109.6,2.26548,0.32421
car_12910,161.002,173.6,12.5982,-3.00871
car_15111,375.671,435.6,59.9292,4.99979
car_5073,375.671,421.2,45.5292,6.34264
car_218,125.224,131.6,6.37639,-1.9971
car_1279,357.782,394.8,37.0183,-1.06854
car_621,107.335,108.4,1.06548,-0.465593
car_1983,178.891,194.8,15.9091,1.61255
car_8782,161.002,174,12.9982,0.494944
car_5796,375.671,419.2,43.5292,1.76061
car_14299,339.893,376.8,36.9073,-5.93767
car_85,125.224,134.8,9.57639,-3.23995
car_15627,357.782,398.8,41.0183,1.20015
car_8948,161.002,185.2,24.1982,-5.85667
car_4218,232.558,258.4,25.8419,-0.525579
car_6223,250.447,282.4,31.9528,-0.930044
car_3970,125.224,134.8,9.57639,2.08181
car_1895,357.782,404.8,47.0183,5.29147
car_377,107.335,112.4,5.06548,-4.48456
car_4621,125.224,135.2,9.97639,-4.19604
car_13368,375.671,433.6,57.9292,0.927323
car_1051,357.782,398.4,40.6183,1.14688
car_11605,286.225,327.2,40.9746,-5.47475
car_1792,250.447,282.8,32.3528,-9.74231
car_171,125.224,132,6.77639,-1.67846
car_5143,393.56,444,50.4401,-4.37513
car_15021,357.782,410.4,52.6183,0.404654
car_1389,196.78,216.4,19.62,0.502185
car_10034,339.893,378.8,38.9073,-2.1581
car_1146,250.447,276,25.5528,-1.10585
car_16670,339.893,382.4,42.5073,2.23778
car_9443,232.558,253.6,21.0419,-2.22389
car_552,107.335,110,2.66548,-0.0415857
car_4530,429.338,474,44.6619,0.115138
car_7885,339.893,388.8,48.9073,-2.40896
car_11068,214.669,245.6,30.931,2.23849
car_1003,232.558,252,19.4419,-0.053608
car_12829,304.114,346.4,42.2855,-4.04853
car_4673,322.004,358.4,36.3964,-0.351911
car_321,375.671,422.8,47.1292,1.61006
car_1520,143.113,149.6,6.4873,-1.20094
car_718,250.447,274,23.5528,-1.43198
car_16797,143.113,159.6,16.4873,-24.0054
car_9209,357.782,402,44.2183,1.79406
car_299,286.225,314,27.7746,-2.77885
car_9344,250.447,275.2,24.7528,-1.99012
car_7629,161.002,179.6,18.5982,0.208267
car_2406,107.335,108.8,1.46548,-0.146773
car_2958,161.002,180.4,19.3982,-1.36659
car_440,250.447,275.6,25.1528,-1.75542
car_6305,196.78,218.8,22.02,1.90569
car_123,125.224,132.8,7.57639,-0.773378
car_768,107.335,110,2.66548,-0.138938
car_23,393.56,436.8,43.2401,-0.0538785
car_9675,339.893,382.8,42.9073,-3.02778
car_7138,447.227,503.6,56.3728,-7.12892
car_8434,357.782,396,38.2183,-1.39295
car_7527,483.005,532,48.9946,-1.89789
car_10088,304.114,346,41.8855,-3.1552
car_4540,196.78,222.8,26.02,-5.0212
car_11018,196.78,216.4,19.62,4.16768
car_1550,268.336,301.2,32.8637,0.830163
car_11436,375.671,422,46.3292,-1.52976
car_430,107.335,108.8,1.46548,-0.341872
car_9507,125.224,140,14.7764,-7.89616
car_1851,339.893,380,40.1073,-2.62237
car_2928,125.224,139.2,13.9764,5.12583
car_12316,232.558,266.4,33.8419,3.18287
car_1712,143.113,153.2,10.0873,-2.06944
car_284,304.114,336.4,32.2855,1.32196
car_473,107.335,113.2,5.86548,-0.344505
car_7083,196.78,225.6,28.82,-1.20255
car_6318,178.891,196.8,17.9091,3.63673
car_1751,232.558,254.8,22.2419,-0.502824
car_19493,125.224,132.4,7.17639,-1.93019
car_132,125.224,134.4,9.17639,0.580825
car_16908,214.669,237.2,22.531,-0.404592
car_4169,304.114,348.4,44.2855,-3.51921
car_5272,178.891,191.6,12.7091,-0.143089
car_1179,178.891,193.2,14.3091,-0.243983
car_1092,339.893,380.8,40.9073,-0.413521
car_204,125.224,128.8,3.57639,-0.38638
car_11328,196.78,213.2,16.42,-1.94291
car_7213,161.002,175.6,14.5982,-0.998866
car_289,196.78,214.4,17.62,-1.75978
car_9372,375.671,424,48.3292,-3.65233
car_7639,286.225,325.6,39.3746,-0.571697
car_2470,232.558,254.4,21.8419,0.378142
car_3684,375.671,416.8,41.1292,-0.223804
car_12839,447.227,497.6,50.3728,-4.62139
car_331,125.224,131.6,6.37639,1.04092
car_9570,214.669,241.2,26.531,-0.892876
car_894,322.004,360.8,38.7964,0.0668225
car_421,107.335,111.6,4.26548,-2.05824
car_2939,357.782,406.8,49.0183,1.79908
car_3161,125.224,130,4.77639,-0.476756
car_2108,339.893,378.4,38.5073,-2.07724
car_4726,143.113,162.8,19.6873,1.58622
car_12718,322.004,363.2,41.1964,-5.05638
car_15351,339.893,380.4,40.5073,2.22812
car_6683,268.336,302.4,34.0637,1.90015
car_1336,357.782,398,40.2183,0.780075
car_10741,375.671,425.2,49.5292,-2.06436
car_1129,357.782,396.4,38.6183,0.237985
car_11087,250.447,280,29.5528,0.294514
car_1060,393.56,442,48.4401,-2.86332
car_10017,322.004,366.4,44.3964,-6.8435
car_5280,322.004,368.4,46.3964,-0.155267
car_4139,357.782,409.2,51.4183,-0.881492
car_12806,304.114,353.6,49.4855,-0.319604
car_5389,339.893,383.2,43.3073,-4.46489
car_4610,107.335,110,2.66548,-1.93542
car_3237,161.002,173.2,12.1982,-4.97867
car_9226,89.4454,89.6,0.154563,866.8
car_1958,411.449,456.4,44.951,-2.77198
car_52,143.113,151.2,8.0873,-1.73903
car_12055,322.004,372,49.9964,-0.584883
car_1248,286.225,318.8,32.5746,-1.99535
car_207,125.224,130.8,5.57639,-0.15647
car_7092,196.78,219.2,22.42,-0.753042
car_1744,250.447,281.6,31.1528,-1.93789
car_17974,232.558,260.8,28.2419,0.577677
car_105,286.225,312,25.7746,-4.58855
car_8659,178.891,195.6,16.7091,-3.76012
car_9533,232.558,252.4,19.8419,-4.02463
car_462,107.335,110,2.66548,-0.471962
car_259,125.224,128.8,3.57639,-0.382194
car_4450,107.335,108.8,1.46548,-0.342588
car_13919,393.56,444,50.4401,0.271631
car_7693,143.113,152.4,9.2873,2.78664
car_10118,268.336,301.2,32.8637,-0.897708
car_1260,322.004,357.2,35.1964,-3.71263
car_223,125.224,132.4,7.17639,0.0813622
car_15108,232.558,254.4,21.8419,-3.89156
car_638,286.225,316,29.7746,-0.39189
car_1699,339.893,380,40.1073,1.38583
car_782,339.893,374.4,34.5073,-7.70611
car_2546,107.335,109.2,1.86548,-0.0231962
car_5334,304.114,350.4,46.2855,3.35766
car_15252,357.782,392.8,35.0183,1.68505
car_4184,143.113,155.6,12.4873,1.79462
car_12891,214.669,246.4,31.731,-0.772162
car_3242,447.227,506.4,59.1728,-0.398172
car_6995,232.558,262.8,30.2419,-2.88995
car_10062,429.338,475.2,45.8619,-2.29556
car_1194,107.335,110,2.66548,0.87362
car_8575,429.338,476,46.6619,-4.16665
car_4311,196.78,214.4,17.62,-4.07219
car_8636,125.224,129.2,3.97639,-0.160405
car_508,107.335,109.6,2.26548,-0.411998
car_1428,214.669,239.6,24.931,1.84002
car_7691,322.004,363.6,41.5964,1.14598
car_4452,125.224,132.4,7.17639,-1.75567
car_1262,304.114,337.6,33.4855,-2.28375
car_12929,304.114,343.6,39.4855,2.71555
car_221,143.113,153.6,10.4873,-0.319281
car_10621,393.56,438,44.4401,0.647173
car_1313,375.671,410.8,35.1292,-2.35391
car_4703,286.225,327.2,40.9746,-0.0482263
car_15899,107.335,115.2,7.86548,-0.715732
car_7720,196.78,220.4,23.62,-1.79087
