ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_1782,89.4454,89.9,0.454563,-0.643196
car_143,125.224,138.3,13.0764,-1.90996
car_4613,107.335,117.7,10.3655,0.623668
car_5283,125.224,139.1,13.8764,-2.85438
car_3234,107.335,113.1,5.76548,0.618593
car_10014,107.335,122.2,14.8655,-1.20402
car_1063,125.224,140.8,15.5764,1.5703
car_6909,107.335,125.7,18.3655,8.15048
car_51,89.4454,90.8,1.35456,0.540418
car_6,89.4454,90.2,0.754563,-0.34266
car_9530,89.4454,93.3,3.85456,3.10686
car_528,125.224,145.2,19.9764,12.8366
car_461,107.335,128.9,21.5655,13.1213
car_1747,89.4454,101.4,11.9546,3.24122
car_7091,107.335,128,20.6655,12.0965
car_106,107.335,119.6,12.2655,3.99746
car_1026,107.335,117.7,10.3655,0.338331
car_4511,107.335,122.2,14.8655,1.99582
car_7510,107.335,131.7,24.3655,-1.0322
car_4656,125.224,143.3,18.0764,-0.452102
car_1408,107.335,122.4,15.0655,3.20187
car_1501,107.335,123.6,16.2655,0.516303
car_9602,107.335,132.4,25.0655,13.1883
car_8999,107.335,124.1,16.7655,5.05177
car_14,89.4454,89.7,0.254563,-0.578187
car_2,107.335,111.5,4.16548,-1.73696
car_8657,125.224,171.5,46.2764,26.8658
car_525,89.4454,94.5,5.05456,4.21723
car_1405,89.4454,97.6,8.15456,-3.97876
car_8994,107.335,113.1,5.76548,-6.25793
car_19,89.4454,91.7,2.25456,-2.16393
car_928,107.335,115.9,8.56548,-10.8384
car_1853,107.335,114.4,7.06548,-4.98556
car_9505,89.4454,91.5,2.05456,-3.75512
car_432,125.224,147.6,22.3764,4.12643
car_1710,125.224,145.9,20.6764,7.99827
car_1552,107.335,108.5,1.16548,-1.05938
car_9677,107.335,121.3,13.9655,-3.63927
car_8436,107.335,115,7.66548,-6.76172
car_21,89.4454,90.9,1.45456,0.439058
car_324,107.335,110.8,3.46548,-2.0852
car_4676,107.335,118.4,11.0655,1.06991
car_1525,107.335,122.9,15.5655,6.74923
car_1006,125.224,148.3,23.0764,16.3901
car_4535,125.224,150.1,24.8764,10.4882
car_7880,107.335,127,19.6655,7.13613
car_9622,89.4454,106.2,16.7546,12.8277
car_78,107.335,109.6,2.26548,-1.08315
car_445,125.224,150.4,25.1764,1.18692
car_2689,107.335,110.3,2.96548,1.72188
car_6300,107.335,123.7,16.3655,4.37058
car_126,107.335,108.7,1.36548,-0.223769
car_1855,107.335,125.4,18.0655,8.46063
car_9503,107.335,116.8,9.46548,-0.836932
car_434,107.335,119.3,11.9655,-2.62098
car_1716,125.224,153.9,28.6764,22.5467
car_8009,125.224,147.7,22.4764,12.9054
car_1554,107.335,121.5,14.1655,2.48607
car_9671,107.335,117.9,10.5655,-3.7036
car_8878,125.224,157.2,31.9764,25.6701
car_8430,107.335,116.2,8.86548,-1.31826
car_27,89.4454,89.9,0.454563,-0.54935
car_5738,107.335,119.7,12.3655,4.19685
car_453,125.224,138.3,13.0764,7.17075
