ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_85,107.335,110,2.66548,-4.86503
car_1983,125.224,239.3,114.076,102.217
car_474,107.335,182.5,75.1655,63.8944
car_1756,125.224,327.3,202.076,144.401
car_135,107.335,137,29.6655,14.5844
car_283,125.224,216.3,91.0764,76.3495
car_1015,89.4454,179.9,90.4546,89.6443
car_1514,107.335,326,218.665,91.4589
car_67,89.4454,90.3,0.854563,-0.0486694
car_38,107.335,121.7,14.3655,4.96239
car_5402,107.335,133.5,26.1655,16.8357
car_755,107.335,285.4,178.065,106.932
car_539,89.4454,104.4,14.9546,7.08878
car_412,125.224,225.6,100.376,72.2685
car_113,89.4454,94.5,5.05456,-6.08248
car_1110,107.335,295.7,188.365,114.612
car_706,89.4454,118.6,29.1546,13.6414
car_1947,125.224,374.7,249.476,164.979
car_49,89.4454,91.4,1.95456,-2.1278
car_1499,107.335,382.9,275.565,142.334
car_1785,107.335,149.8,42.4655,34.0809
car_144,125.224,166.1,40.8764,26.3698
car_56,107.335,111.1,3.76548,-4.00962
car_3233,107.335,317.2,209.865,133.032
car_1064,107.335,169.6,62.2655,53.1352
car_5789,125.224,192.3,67.0764,56.4057
car_1,89.4454,92.6,3.15456,-0.577923
car_6368,107.335,164.4,57.0655,44.7683
car_1743,107.335,238.9,131.565,117.615
car_102,89.4454,93.4,3.95456,-1.37102
car_465,125.224,161.5,36.2764,29.535
car_10,89.4454,90.6,1.15456,-0.5935
car_1022,107.335,168.3,60.9655,58.1617
car_4515,125.224,219.4,94.1764,84.0571
car_1505,125.224,409.9,284.676,152.013
car_105,107.335,119,11.6655,2.19243
car_1744,125.224,402.2,276.976,136.528
car_462,107.335,124.5,17.1655,-2.35541
car_1025,107.335,257.1,149.765,100.226
car_4512,89.4454,94.7,5.25456,0.47654
car_1502,125.224,296.3,171.076,154.5
car_17,89.4454,91.1,1.65456,-2.1751
car_3485,107.335,312.1,204.765,127.426
car_181,89.4454,93,3.55456,-11.7896
car_404,89.4454,115,25.5546,19.5941
car_1847,125.224,409.7,284.476,149.651
car_1766,89.4454,150.1,60.6546,54.4187
car_4574,89.4454,89.9,0.454563,-0.538116
car_1564,125.224,172.8,47.5764,38.03
car_31,89.4454,92.7,3.25456,-1.49724
car_4606,107.335,311.4,204.065,103.164
car_1537,107.335,258,150.665,105.413
car_314,107.335,160.2,52.8655,40.664
car_4109,89.4454,295,205.555,106.368
car_1076,125.224,375.9,250.676,116.922
car_1119,125.224,248.4,123.176,86.8826
car_40,89.4454,93.2,3.75456,-0.335347
car_457,107.335,207.6,100.265,73.7207
car_2693,125.224,380,254.776,131.622
car_156,107.335,139.6,32.2655,18.3183
car_525,107.335,112,4.66548,-2.76236
car_1405,107.335,203.8,96.4655,94.3185
car_19,107.335,114.2,6.86548,-2.03404
car_2,107.335,108.7,1.36548,-1.04249
car_648,89.4454,118.3,28.8546,28.126
car_5805,107.335,115.6,8.26548,-1.18944
car_4420,107.335,342,234.665,144.59
car_1210,107.335,108.5,1.16548,-1.16074
car_3388,125.224,202,76.7764,65.7938
car_147,125.224,180,54.7764,41.8027
car_1786,107.335,355.6,248.265,124.484
car_2808,125.224,422.5,297.276,143.981
car_55,89.4454,91.9,2.45456,-0.0252865
car_2039,107.335,371.2,263.865,132.075
car_3230,107.335,321.4,214.065,70.9413
car_1067,125.224,186.2,60.9764,48.7728
car_2409,107.335,388.3,280.965,153.833
car_296,125.224,142.5,17.2764,7.5783
car_1934,107.335,255,147.665,141.599
car_717,107.335,147.5,40.1655,5.23446
car_72,89.4454,90.5,1.05456,-0.0198334
car_1105,125.224,281.4,156.176,133.192
car_0,107.335,111.3,3.96548,-4.17059
car_1498,125.224,345.5,220.276,168.568
car_145,107.335,137.2,29.8655,16.5466
car_1784,107.335,347.5,240.165,114.511
car_3232,107.335,136.2,28.8655,14.3734
car_5285,125.224,311,185.776,98.6722
car_1065,125.224,388.2,262.976,116.756
car_57,89.4454,93.3,3.85456,-1.48025
car_2497,125.224,203.2,77.9764,0.885601
car_1980,107.335,351,243.665,107.711
car_86,89.4454,92.7,3.25456,-1.92674
car_4894,107.335,310.7,203.365,148.51
car_1211,125.224,221.6,96.3764,66.0139
car_3389,107.335,366.5,259.165,120.007
car_649,107.335,195.9,88.5655,72.3386
car_1787,125.224,374.3,249.076,173.308
car_146,107.335,123.9,16.5655,3.12475
car_2809,107.335,339.9,232.565,101.95
car_54,107.335,120,12.6655,4.27321
car_3231,107.335,152.1,44.7655,37.9338
car_2038,125.224,408.8,283.576,125.151
car_4616,107.335,111.5,4.16548,-3.00551
car_1066,107.335,145.7,38.3655,35.3624
car_18,107.335,117.5,10.1655,0.100254
car_3,107.335,110.6,3.26548,-1.86262
car_1952,89.4454,268.9,179.455,127.69
car_2805,107.335,360,252.665,160.112
car_58,107.335,118.2,10.8655,2.37603
car_4133,107.335,113.5,6.16548,0.0141933
car_2034,107.335,352.9,245.565,98.1478
car_1123,107.335,111.2,3.86548,-2.77876
car_3121,89.4454,91.6,2.15456,1.0728
car_106,89.4454,102.7,13.2546,3.67763
car_1747,107.335,393.6,286.265,136.195
car_528,107.335,123.7,16.3655,13.9494
car_461,107.335,191.3,83.9655,71.8764
car_1026,107.335,310.3,202.965,126.862
car_4511,107.335,319.3,211.965,148.988
car_1501,89.4454,319,229.555,108.47
car_1408,107.335,418.7,311.365,169.284
car_14,107.335,111.4,4.06548,-4.27141
car_1958,125.224,458,332.776,228.775
car_52,107.335,123.2,15.8655,6.4471
car_3237,107.335,119.3,11.9655,5.26518
car_5389,107.335,147,39.6655,27.5385
car_4139,107.335,288.7,181.365,78.9361
car_1060,125.224,169.1,43.8764,31.5923
car_1129,107.335,170.1,62.7655,43.4786
car_1217,89.4454,128.3,38.8546,25.1347
car_3578,125.224,208,82.7764,71.0481
car_1781,107.335,175.7,68.3655,61.6817
car_140,89.4454,93.5,4.05456,-2.29624
car_489,89.4454,108.6,19.1546,12.2337
car_580,107.335,206.8,99.4655,86.0311
car_5,107.335,112.6,5.26548,-4.058
car_460,107.335,139.2,31.8655,-2.23278
car_529,125.224,182.7,57.4764,37.3959
car_1746,107.335,262.5,155.165,141.799
car_107,107.335,113.2,5.86548,-2.61336
car_1409,107.335,256.6,149.265,132.48
car_1500,89.4454,159,69.5546,43.3668
car_1027,125.224,421.1,295.876,173.869
car_15,107.335,111.8,4.46548,-1.57672
car_485,107.335,130.5,23.1655,21.0179
car_3901,107.335,331,223.665,101.529
car_1082,107.335,148.6,41.2655,20.1379
car_9,107.335,114.6,7.26548,-2.9478
car_2687,107.335,235.7,128.365,87.9217
car_3510,107.335,389,281.665,152.118
car_2953,107.335,337,229.665,120.367
car_128,89.4454,93.4,3.95456,-1.62918
car_292,107.335,143.7,36.3655,33.0691
car_4111,125.224,272.2,146.976,130.159
car_1008,125.224,259,133.776,119.546
car_1101,125.224,203.3,78.0764,65.3984
car_713,107.335,197.3,89.9655,79.7392
car_1930,89.4454,280.4,190.955,96.0314
car_76,107.335,118.6,11.2655,0.646051
car_762,107.335,227.8,120.465,109.195
car_29,107.335,109.8,2.46548,-0.513334
car_3986,107.335,275.6,168.265,41.0299
car_402,107.335,166,58.6655,46.9856
car_1841,125.224,382.2,256.976,139.946
car_1760,107.335,253.8,146.465,108.491
car_1562,107.335,294.3,186.965,111.858
car_37,107.335,108.6,1.26548,-1.05269
car_444,107.335,129.9,22.5655,-3.81962
car_2688,107.335,276.5,169.165,105.399
car_127,107.335,129.9,22.5655,6.97689
car_325,89.4454,102.1,12.6546,6.35
car_1524,89.4454,96.6,7.15456,-0.162445
car_4534,107.335,335.6,228.265,128.479
car_1007,107.335,147.5,40.1655,31.3174
car_79,107.335,108.7,1.36548,-0.607955
car_1717,125.224,364.4,239.176,83.5892
car_435,107.335,177.9,70.5655,59.7918
car_1854,107.335,372.4,265.065,133.916
car_1555,125.224,197.3,72.0764,56.7385
car_26,107.335,115.6,8.26548,-0.536133
car_4592,107.335,138.1,30.7655,22.2483
car_1582,125.224,330.3,205.076,182.541
car_97,89.4454,96.7,7.25456,-1.27699
car_101,107.335,128,20.6655,12.4596
car_1740,125.224,417.4,292.176,134.574
car_466,107.335,212.2,104.865,86.4973
car_4516,107.335,302.8,195.465,104.341
car_1021,89.4454,102.3,12.8546,5.90396
car_1506,89.4454,245.7,156.255,126.317
car_13,107.335,114.7,7.36548,-0.933842
car_4424,89.4454,257.3,167.855,92.8941
car_5801,107.335,119.7,12.3655,6.14244
car_1214,107.335,127,19.6655,10.6594
car_143,107.335,133.7,26.3655,14.7819
car_1782,107.335,393.2,285.865,162.805
car_51,107.335,119.9,12.5655,4.08709
car_1063,107.335,160.6,53.2655,39.2138
car_6,107.335,115.9,8.56548,-2.92493
car_1783,107.335,251.7,144.365,116.976
car_142,107.335,133.1,25.7655,10.2517
car_4612,107.335,108.5,1.16548,-1.05183
car_3235,107.335,300.5,193.165,131.69
car_1062,107.335,285.3,177.965,100.403
car_50,107.335,112.4,5.06548,-2.63676
car_4267,125.224,287.2,161.976,155.406
car_582,89.4454,108.7,19.2546,6.78011
car_2489,107.335,115.5,8.16548,2.53142
car_2580,107.335,279.9,172.565,70.7988
car_4906,107.335,113.2,5.86548,-9.18992
car_7,107.335,116.5,9.16548,-4.09975
car_206,89.4454,90.1,0.654563,-0.612498
car_1249,107.335,119.7,12.3655,1.01455
car_3236,107.335,362.4,255.065,163.816
car_1061,107.335,219.3,111.965,97.905
car_1128,125.224,438,312.776,201.96
car_1959,107.335,292.9,185.565,114.925
car_53,107.335,122,14.6655,9.07537
car_3579,107.335,341.1,233.765,134.157
car_141,89.4454,90.1,0.654563,-0.0732862
car_1780,107.335,385.1,277.765,146.556
car_1565,107.335,255.1,147.765,93.7809
car_30,107.335,118.8,11.4655,2.99131
car_5701,107.335,134.3,26.9655,23.0525
car_456,107.335,137.8,30.4655,18.7793
car_2692,125.224,372.2,246.976,129.012
car_157,125.224,162.6,37.3764,20.5878
car_1118,107.335,364.5,257.165,132.061
car_1077,107.335,176.7,69.3655,49.672
car_1536,89.4454,295.9,206.455,102.977
car_315,107.335,130.3,22.9655,10.1326
