ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_283,125.224,224.4,99.1764,29.5344
car_474,107.335,185.8,78.4655,22.4754
car_1756,125.224,347.3,222.076,11.1168
car_135,107.335,134.4,27.0655,12.3382
car_1015,89.4454,169.4,79.9546,79.1443
car_1514,107.335,370.9,263.565,151.262
car_67,89.4454,90,0.554563,-0.348669
car_38,107.335,119.2,11.8655,-2.90132
car_5402,107.335,131.4,24.0655,0.765119
car_755,107.335,302.6,195.265,-1.45407
car_539,89.4454,114.8,25.3546,15.684
car_412,125.224,208.3,83.0764,1.88926
car_113,89.4454,94.5,5.05456,-7.5132
car_1110,107.335,324.7,217.365,-1.97663
car_706,89.4454,173.7,84.2546,64.2918
car_1947,125.224,321.6,196.376,22.7137
car_49,89.4454,91.4,1.95456,-2.1278
car_1499,107.335,389.5,282.165,22.9268
car_1785,107.335,130.2,22.8655,3.67729
car_144,125.224,146.3,21.0764,-0.205378
car_56,107.335,112.3,4.96548,-3.61089
car_3233,107.335,303.4,196.065,-1.5626
car_1064,107.335,181.6,74.2655,-7.97492
car_5789,125.224,225.7,100.476,37.0864
car_1,89.4454,92.6,3.15456,-0.577923
car_6368,107.335,150.6,43.2655,36.4281
car_1743,107.335,208.4,101.065,29.0405
car_102,89.4454,93.1,3.65456,-1.67102
car_465,125.224,170.7,45.4764,8.01394
car_10,89.4454,90.6,1.15456,-0.5935
car_1022,107.335,165.2,57.8655,52.0017
car_4515,125.224,216.9,91.6764,72.0678
car_1505,125.224,397.4,272.176,16.6674
car_105,107.335,122.7,15.3655,9.23452
car_1744,125.224,345,219.776,1.49752
car_462,107.335,115.5,8.16548,3.53221
car_1025,107.335,265.5,158.165,29.2314
car_4512,89.4454,97.2,7.75456,-2.43382
car_1502,125.224,418.3,293.076,42.9809
car_17,89.4454,91.1,1.65456,-2.1751
car_347,125.224,188.8,63.5764,30.0668
car_2183,125.224,287.4,162.176,-3.05817
car_5241,89.4454,296,206.555,116.814
car_1168,89.4454,190.1,100.655,92.5557
car_3485,107.335,266.2,158.865,-8.01868
car_2622,107.335,340.9,233.565,26.5008
car_181,89.4454,95.4,5.95456,-2.93698
car_404,89.4454,120.1,30.6546,18.5539
car_1847,125.224,358.4,233.176,1.43081
car_1766,89.4454,253,163.555,113.506
car_4574,89.4454,89.9,0.454563,-0.538116
car_1564,125.224,217.8,92.5764,29.8613
car_31,89.4454,92.7,3.25456,-1.49724
car_457,107.335,174,66.6655,2.48745
car_2693,125.224,489.7,364.476,41.4172
car_156,107.335,133.8,26.4655,4.92495
car_4606,107.335,402.1,294.765,17.3062
car_1537,107.335,251.8,144.465,-8.87064
car_314,107.335,146.6,39.2655,3.34943
car_4109,89.4454,187.9,98.4546,62.1582
car_4527,107.335,220.8,113.465,0.405765
car_1076,125.224,392.4,267.176,-7.73986
car_1119,125.224,187,61.7764,35.1979
car_40,89.4454,93.2,3.75456,-0.5971
car_525,107.335,111.1,3.76548,-3.37288
car_1405,107.335,217.1,109.765,9.59884
car_19,107.335,114.2,6.86548,-2.03404
car_2,107.335,108.7,1.36548,-1.04249
car_648,89.4454,139.6,50.1546,47.0989
car_5805,107.335,159.1,51.7655,36.7583
car_1210,107.335,108.9,1.56548,-1.149
car_3388,125.224,251,125.776,61.3455
car_147,125.224,190.1,64.8764,51.5376
car_1786,107.335,320.1,212.765,-0.151676
car_2039,107.335,364.7,257.365,13.9281
car_3230,107.335,251.4,144.065,5.03866
car_1067,125.224,219.4,94.1764,28.8746
car_2808,125.224,371.8,246.576,-6.36596
car_55,89.4454,91.5,2.05456,0.569864
car_2409,107.335,324.9,217.565,25.3486
car_296,125.224,160.2,34.9764,-0.290066
car_1934,107.335,241.8,134.465,-2.08799
car_717,107.335,172.8,65.4655,20.9412
car_72,89.4454,90.5,1.05456,-0.0317824
car_1105,125.224,275.1,149.876,2.5459
car_0,107.335,114.6,7.26548,-1.02848
car_1498,125.224,276.5,151.276,21.2238
car_145,107.335,138.9,31.5655,9.76097
car_1784,107.335,359.9,252.565,3.28958
car_3232,107.335,134.8,27.4655,13.2395
car_1065,125.224,434.4,309.176,-0.591675
car_57,89.4454,92.7,3.25456,-2.08025
car_1838,125.224,164,38.7764,31.4425
car_499,125.224,165,39.7764,0.290185
car_3915,89.4454,288.8,199.355,101.37
car_2497,125.224,246.5,121.276,-3.46319
car_1980,107.335,341.7,234.365,123.08
car_86,89.4454,92.4,2.95456,-4.01487
car_4894,107.335,307.9,200.565,33.246
car_1211,125.224,278.9,153.676,3.12381
car_3389,107.335,364.6,257.265,20.3128
car_649,107.335,208.6,101.265,11.1924
car_146,107.335,127,19.6655,7.38128
car_1787,125.224,465.7,340.476,34.8904
car_2809,107.335,370.6,263.265,14.5659
car_54,107.335,118.3,10.9655,1.3689
car_3231,107.335,122.1,14.7655,-2.50695
car_2038,125.224,382.1,256.876,-2.20795
car_4616,107.335,116,8.66548,5.55289
car_1066,107.335,163.1,55.7655,45.8226
car_18,107.335,117.5,10.1655,1.70621
car_3,107.335,110.2,2.86548,-2.26262
car_1952,89.4454,256.3,166.855,121.022
car_2805,107.335,303,195.665,10.1656
car_58,107.335,119.1,11.7655,3.27603
car_4133,107.335,113.3,5.96548,-1.71595
car_2034,107.335,295.8,188.465,74.7352
car_1123,107.335,110.2,2.86548,-5.05788
car_1026,107.335,304.8,197.465,8.85795
car_4511,107.335,328.7,221.365,-2.02013
