ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_432,107.335,172,64.6655,248
car_21,89.4454,92.8,3.35456,97.6
car_238,125.224,160,34.7764,200
car_90,89.4454,91.2,1.75456,106.8
car_2584,107.335,149.2,41.8655,605.2
car_3,89.4454,90,0.554563,90
car_1217,89.4454,193.2,103.755,409.2
car_140,125.224,162.8,37.5764,188
car_52,107.335,114.4,7.06548,123.6
car_1060,107.335,195.2,87.8655,386.4
car_1129,107.335,185.2,77.8655,386.4
car_580,107.335,150,42.6655,253.2
car_489,89.4454,112,22.5546,198
car_5,89.4454,90.8,1.35456,92
car_453,107.335,175.2,67.8655,254.8
car_152,107.335,125.6,18.2655,151.6
car_1533,107.335,238.8,131.465,510
car_310,107.335,134.8,27.4655,188.8
car_44,107.335,116.8,9.46548,124.8
car_400,125.224,183.6,58.3764,253.6
car_758,89.4454,112,22.5546,248
car_35,89.4454,92.4,2.95456,99.6
car_1582,107.335,186.4,79.0655,466.4
car_97,89.4454,94.8,5.35456,112
car_1717,107.335,278.8,171.465,584
car_435,107.335,153.6,46.2655,230.8
car_1555,107.335,290.4,183.065,565.6
car_26,89.4454,94,4.55456,99.2
car_1755,107.335,219.2,111.865,531.2
car_136,125.224,146.4,21.1764,170.4
car_477,107.335,246,138.665,330.8
car_280,125.224,197.2,71.9764,246
car_338,107.335,139.2,31.8655,200.4
car_64,89.4454,90.8,1.35456,102
car_1016,89.4454,122.4,32.9546,305.2
car_133,107.335,131.6,24.2655,154.8
car_472,125.224,217.6,92.3764,301.6
car_285,89.4454,101.2,11.7546,150.4
car_1512,107.335,292.8,185.465,560.8
car_1013,107.335,276.8,169.465,458.8
car_61,107.335,113.2,5.86548,124.4
car_995,107.335,162,54.6655,341.2
car_1040,107.335,326.4,219.065,513.2
car_362,107.335,146,38.6655,210
car_1398,107.335,215.2,107.865,463.2
car_160,89.4454,90.8,1.35456,118
car_83,89.4454,89.6,0.154563,103.6
car_81,89.4454,93.2,3.75456,107.2
car_29,107.335,115.6,8.26548,120.8
car_762,107.335,151.6,44.2655,289.2
car_128,125.224,149.6,24.3764,173.6
car_292,107.335,164.8,57.4655,216.4
car_1008,125.224,326,200.776,508
car_76,89.4454,94.4,4.95456,107.6
car_1101,107.335,165.6,58.2655,361.6
car_713,125.224,239.6,114.376,366.8
car_132,89.4454,96,6.55456,119.2
car_473,125.224,259.6,134.376,343.6
car_284,125.224,190.4,65.1764,239.6
car_1513,107.335,208,100.665,476
car_1012,125.224,270.4,145.176,452.4
car_60,125.224,152.4,27.1764,164
car_82,89.4454,95.2,5.75456,109.2
car_769,125.224,339.2,213.976,477.2
car_22,107.335,108.8,1.46548,112.8
car_1551,89.4454,128,38.5546,402
car_93,89.4454,93.6,4.15456,109.6
car_1952,107.335,202.8,95.4655,552
car_58,107.335,110.4,3.06548,120.4
car_1123,89.4454,176,86.5546,376
car_461,89.4454,114,24.5546,195.2
car_106,89.4454,90,0.554563,110
car_528,125.224,302.4,177.176,396.8
car_14,107.335,112,4.66548,115.2
car_1026,89.4454,157.2,67.7546,341.2
car_7,107.335,108.4,1.06548,110.4
car_754,107.335,309.2,201.865,446.4
car_39,107.335,118.8,11.4655,126
car_707,125.224,306.4,181.176,432.4
car_48,107.335,116.4,9.06548,125.6
car_1111,125.224,203.6,78.3764,401.6
car_538,107.335,158.8,51.4655,254.8
car_112,89.4454,89.6,0.154563,110.4
car_413,125.224,211.6,86.3764,284.8
car_88,89.4454,96.4,6.95456,111.6
car_0,107.335,112.4,5.06548,112.4
car_525,107.335,167.2,59.8655,260
car_1405,125.224,184.8,59.5764,434
car_19,107.335,115.6,8.26548,120.8
car_2,107.335,112.4,5.06548,112.4
car_1082,107.335,254.8,147.465,448.8
car_485,107.335,157.2,49.8655,242.8
car_9,107.335,110.8,3.46548,112.4
car_467,107.335,157.2,49.8655,239.2
car_100,125.224,156,30.7764,174
car_12,107.335,108.4,1.06548,112.4
car_1507,89.4454,122,32.5546,390
car_1020,107.335,241.2,133.865,424.4
car_646,107.335,174,66.6655,291.6
car_1494,125.224,262.8,137.576,528
car_149,89.4454,96.4,6.95456,122.4
car_1890,107.335,245.2,137.865,582.8
car_1054,125.224,282,156.776,471.2
car_372,107.335,164,56.6655,230
car_174,89.4454,90,0.554563,120
car_105,107.335,120.8,13.4655,139.6
car_462,125.224,296,170.776,377.6
car_17,107.335,110.4,3.06548,113.6
car_1939,125.224,223.2,97.9764,569.2
car_1108,125.224,335.2,209.976,533.2
car_1522,107.335,165.6,58.2655,434.8
car_323,125.224,169.6,44.3764,227.6
car_1001,107.335,198.8,91.4655,378.8
car_121,89.4454,92.8,3.35456,114
car_442,107.335,214.4,107.065,291.6
car_6,107.335,113.2,5.86548,114.4
car_768,107.335,316,208.665,456.4
car_23,107.335,110.4,3.06548,114.4
car_1499,107.335,295.2,187.865,561.2
car_144,107.335,121.6,14.2655,146.8
car_56,107.335,112,4.66548,122
car_1,107.335,115.6,8.26548,115.6
car_488,107.335,146.8,39.4655,232.8
car_581,125.224,193.2,67.9764,296.4
car_4,107.335,114.8,7.46548,116
car_102,107.335,120.8,13.4655,138.8
car_465,125.224,232.4,107.176,314.4
car_1505,125.224,299.2,173.976,566.4
car_10,107.335,114,6.66548,116
car_1022,89.4454,102,12.5546,285.2
car_104,107.335,115.6,8.26548,133.6
car_463,107.335,205.2,97.8655,287.6
car_16,107.335,110.8,3.46548,116.4
car_1024,107.335,179.6,72.2655,362.8
car_159,89.4454,89.6,0.154563,116.8
car_458,107.335,200,92.6655,281.2
car_1534,107.335,166.8,59.4655,438
car_317,107.335,145.2,37.8655,202.4
car_43,107.335,110,2.66548,117.2
car_1075,107.335,201.2,93.8655,393.2
car_155,125.224,163.6,38.3764,190.8
car_454,125.224,227.2,101.976,306.4
car_457,107.335,158,50.6655,238
car_156,107.335,110.4,3.06548,137.6
car_314,107.335,138.8,31.4655,194
car_40,107.335,115.2,7.86548,124
car_1076,107.335,181.2,73.8655,373.2
car_404,107.335,144.8,37.4655,216
car_31,107.335,111.6,4.26548,117.6
car_101,107.335,115.6,8.26548,133.6
car_466,125.224,194,68.7764,276
car_13,107.335,114.8,7.46548,118.4
car_1021,107.335,236.4,129.065,420.4
car_464,89.4454,116.8,27.3546,198.8
car_103,125.224,158,32.7764,176
car_11,107.335,115.6,8.26548,118.4
car_1023,107.335,156.8,49.4655,340
car_355,125.224,169.2,43.9764,232.4
car_197,89.4454,92.4,2.95456,125.6
car_27,107.335,113.2,5.86548,118.8
car_476,125.224,169.2,43.9764,253.2
car_137,89.4454,95.2,5.75456,119.2
car_281,107.335,139.2,31.8655,188.4
car_1017,89.4454,284.4,194.955,467.6
car_339,107.335,118.4,11.0655,178.4
car_65,107.335,112,4.66548,124
car_169,89.4454,90,0.554563,119.2
car_180,89.4454,90.8,1.35456,122
car_315,107.335,146.4,39.0655,202
car_41,107.335,112.8,5.46548,120
car_1077,107.335,168.4,61.0655,360.8
car_1118,125.224,203.6,78.3764,402.8
car_157,125.224,158.8,33.5764,186
car_456,125.224,227.6,102.376,307.6
car_28,107.335,113.6,6.26548,120
car_763,107.335,180.8,73.4655,318
car_460,107.335,152,44.6655,233.2
car_529,89.4454,102,12.5546,195.2
car_107,107.335,124.4,17.0655,143.6
car_1027,107.335,281.6,174.265,466.4
car_15,107.335,117.2,9.86548,120.4
car_24,107.335,115.6,8.26548,120.8
car_1074,125.224,277.2,151.976,469.2
car_316,125.224,181.6,56.3764,236.8
car_42,107.335,118,10.6655,125.2
car_2691,107.335,141.6,34.2655,615.6
car_154,125.224,166.4,41.1764,194
car_455,89.4454,112.4,22.9546,193.6
car_406,89.4454,109.6,20.1546,181.2
car_33,107.335,112.4,5.06548,120.8
car_36,107.335,118,10.6655,124
car_1556,107.335,204.8,97.4655,480
car_25,107.335,118.4,11.0655,125.2
car_649,107.335,198.8,91.4655,314
car_146,125.224,160.4,35.1764,187.2
car_54,107.335,117.2,9.86548,126.4
car_1066,107.335,234.8,127.465,426
car_134,107.335,126.8,19.4655,150
car_475,125.224,230,104.776,314
car_282,107.335,127.6,20.2655,177.6
car_66,107.335,114.8,7.46548,126.8
car_1014,107.335,187.6,80.2655,369.6
car_1839,107.335,239.2,131.865,568
car_498,89.4454,122.4,32.9546,209.6
car_87,107.335,111.6,4.26548,126.8
car_1214,89.4454,110,20.5546,325.2
